,N_dopant,E_formation,Ti_dopant_Ti_angle_min,Ti_dopant_Ti_angle_max,Ti_dopant_Ti_angle_mean,Ti_dopant_Ti_angle_std,dopant_Ti_distance_min,dopant_Ti_distance_max,dopant_Ti_distance_mean,dopant_Ti_distance_std,dopant_dopant_distance_min,CN_4Å_min,CN_4Å_max,CN_4Å_mean,CN_4Å_std,q_dopant_min,q_dopant_max,q_dopant_mean,q_dopant_std,q_Ti_min,q_Ti_max,q_Ti_mean,q_Ti_std,d_band_center_all,d_band_center_dopant,WF_dopant_face,WF_O_face,E_fermi,E_vacuum_dopant_face,E_vacuum_O_face
Configuration_75,19,4.7883,76.3594,82.6338,79.2105,2.0016,2.3455,2.4662,2.3992,0.0352,2.7351,0,4,2.1053,0.9676,-0.6998,-0.5915,-0.6539,0.0281,1.8011,1.9294,1.8604,0.0461,-4.2480,-3.2990,4.2528,5.2924,-1.4868,2.7660,3.8056
Configuration_76,20,4.6938,68.3880,83.5605,77.8878,3.9336,2.3694,2.5054,2.4237,0.0389,2.7249,1,5,3.0000,1.0954,-0.7092,-0.5724,-0.6516,0.0373,1.6128,1.9250,1.8236,0.0689,-3.9860,-3.1040,4.6113,5.5377,-1.7287,2.8826,3.8090
Configuration_77,21,4.7705,69.6353,83.2103,78.3868,3.2434,2.3412,2.5000,2.4109,0.0435,2.7352,0,5,2.4762,1.1389,-0.7074,-0.5859,-0.6485,0.0295,1.6528,1.9188,1.8400,0.0652,-4.0370,-3.1700,4.3735,5.4587,-1.5758,2.7977,3.8829
Configuration_78,22,4.7515,75.8400,82.8007,78.8095,1.7710,2.3500,2.4374,2.3986,0.0309,2.7600,2,3,2.3636,0.4810,-0.7113,-0.5793,-0.6636,0.0299,1.7959,1.9242,1.8435,0.0463,-4.1090,-3.2490,4.1955,5.3459,-1.4193,2.7762,3.9266
Configuration_79,23,4.7460,74.5476,81.6447,78.5778,1.8388,2.3316,2.4514,2.4026,0.0331,2.7600,1,4,2.5217,0.7144,-0.7026,-0.6261,-0.6629,0.0191,1.8029,1.9272,1.8442,0.0427,-4.1370,-3.3070,4.1160,5.2780,-1.3225,2.7935,3.9555
Configuration_80,24,4.7390,75.7784,81.5913,78.4409,1.6695,2.3198,2.4707,2.4035,0.0374,2.7525,1,4,2.5833,0.7022,-0.6909,-0.6198,-0.6609,0.0171,1.8016,1.9100,1.8361,0.0393,-4.0830,-3.2710,4.1354,5.2791,-1.3129,2.8225,3.9662
Configuration_81,25,4.7032,67.9854,83.9262,77.8089,3.2809,2.3418,2.5200,2.4170,0.0411,2.7120,2,5,2.8800,0.7111,-0.6860,-0.5981,-0.6540,0.0230,1.5910,1.9230,1.8175,0.0596,-3.9580,-3.1820,4.2700,5.3538,-1.3780,2.8920,3.9758
Configuration_82,26,4.7712,77.8477,80.8502,79.3453,1.0775,2.3505,2.414,2.3788,0.0189,2.7976,2,4,3.3846,0.6429,-0.6972,-0.6183,-0.6471,0.0200,1.7579,1.9000,1.8044,0.0453,-4.0610,-3.2660,3.7695,5.2491,-1.1344,2.6351,4.1147
Configuration_83,27,4.6825,68.5995,82.3808,77.6523,2.8641,2.358,2.5037,2.4182,0.0351,2.7584,2,4,2.7407,0.5159,-0.6899,-0.5968,-0.6609,0.0188,1.6715,1.9237,1.8149,0.0516,-3.9100,-3.1810,4.6989,6.8479,-2.2835,2.4154,4.5644
Configuration_84,28,4.6663,68.6436,81.0651,77.6839,2.808,2.3495,2.5108,2.4182,0.035,2.7548,2,4,2.8571,0.5151,-0.7068,-0.6005,-0.6602,0.0218,1.5908,1.9149,1.8088,0.0519,-3.8170,-3.8710,4.2172,5.3652,-1.2866,2.9306,4.0786
